Carimbo de data/hora,Idade:,Sexo,Cursando semestre:,Renda familiar,Qual o turno do seu curso?,Trabalha,Tempo de estudo diário,Mora com,,Você costuma acessar a internet?,,Qual dispositivo você mais utiliza?,"Em geral, quanto tempo você permanece conectado à intenet diariamente?",Você utiliza a internet para trabalho?,Você utiliza a internet para conversar com amigos?,Você utiliza a internet para conversar com desconhecidos?,Você utiliza e-mail?,Você utiliza a internet para realizar Pesquisas Acadêmicas?,Você utiliza a internet para acessar noticias?,Você faz compras online?,Você assiste vídeos online?,Você utiliza a internet para participar de jogos online?,Você acredita que a internet atrapalha em sua formação?,Você considera as redes sociais um ambiente tóxico?,Você utiliza a internet para fazer download de conteúdo?,"Dentre as opções, qual mais se assemelha ao que o computador representa para você?","Dentre as opções, qual mais se assemelha a como você se sente em relação a informática?"
12/11/2022 17:27:38,21,Masculino,7,,Diurno,0,3,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 17:30:54,21,Masculino,7,,Diurno,1,4,2,,Sim,,Notebook,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 17:36:58,21,Masculino,7,4,Diurno,1,4,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 17:37:19,22,Masculino,7,2,Diurno,1,2,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:00:25,21,Feminino,3,,Diurno,0,,1,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:01:50,24,Feminino,7,5,Diurno,0,3,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:03:35,19,Feminino,1,,Diurno,0,2,2,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:05:20,23,Masculino,8,3,Diurno,0,4,3,,Sim,,Notebook,De 3 a 5 horas,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:06:06,20,Feminino,3,3,Diurno,1,4,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:06:34,21,Feminino,3,1,Diurno,0,4,3,,Sim,,Celular,De 3 a 5 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:07:13,21,Masculino,5,2,Diurno,0,2,2,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:08:33,20,Masculino,4,2,Diurno,0,4,3,,Sim,,Celular,Mais de 5 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:09:01,21,Feminino,3,,Diurno,0,,3,,Sim,,Celular,De 3 a 5 horas,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:12:42,20,Masculino,5,2,Diurno,0,1,3,,Sim,,Notebook,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:14:53,21,Masculino,7,3,Diurno,1,4,1,,Sim,,Celular,Mais de 5 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:20:40,19,Masculino,2,1,Diurno,1,1,1,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:31:04,18,Masculino,1,2,Diurno,0,4,1,,Sim,,Celular,Mais de 5 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 18:54:06,22,Masculino,8,,"Diurno, Noturno",1,2,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 19:13:59,20,Masculino,4,2,Diurno,0,3,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
12/11/2022 19:32:49,23,Masculino,7,4,Diurno,0,4,1,,Sim,,Notebook,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 19:43:47,23,Masculino,9,2,Diurno,0,4,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 21:21:44,20,Feminino,4,3,Diurno,0,4,1,,Sim,,Celular,Mais de 5 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
12/11/2022 21:45:57,22,Masculino,3,1,Noturno,1,3,2,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
13/11/2022 00:45:38,21,Masculino,7,3,Diurno,0,3,3,,Sim,,Celular,De 3 a 5 horas,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Acho tudo muito difícil e complicado
13/11/2022 13:33:37,22,Feminino,7,2,Diurno,1,3,1,,Sim,,Notebook,Mais de 5 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
13/11/2022 13:50:15,21,Masculino,7,2,Diurno,0,2,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Sou obrigada a aprender para poder estudar e/ou trabalhar
13/11/2022 13:50:48,21,Masculino,7,5,Diurno,1,2,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
13/11/2022 14:08:13,23,Masculino,8,,Diurno,1,3,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
13/11/2022 17:40:46,22,Masculino,6,4,Diurno,1,2,1,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
13/11/2022 17:42:55,22,Masculino,7,2,Diurno,1,3,2,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Sou obrigado(a) a aprender para poder estudar e/ou trabalhar
13/11/2022 17:49:51,23,Masculino,10,3,Diurno,1,1,2,,Sim,,Computador,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
13/11/2022 18:41:30,22,Feminino,6,1,Diurno,0,3,1,,Sim,,Notebook,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Só atrapalha a vida das pessoas que agora têm que aprender muito mais para poder fazer as mesmas coisas.,Sou obrigado(a) a aprender para poder estudar e/ou trabalhar
13/11/2022 18:47:14,21,Feminino,7,2,"Diurno, Noturno",1,2,2,,Sim,,Notebook,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
13/11/2022 18:47:53,22,Feminino,5,2,Diurno,0,2,2,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
13/11/2022 20:06:00,22,Feminino,2,4,Diurno,0,3,2,,Sim,,Notebook,Mais de 5 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Sou obrigado(a) a aprender para poder estudar e/ou trabalhar
13/11/2022 20:52:54,21,Feminino,3,1,Diurno,0,,1,,Sim,,Celular,De 3 a 5 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
13/11/2022 22:02:11,20,Masculino,6,2,Noturno,0,2,1,,Sim,,Celular,De 3 a 5 horas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Estou entusiasmado e quero saber muito mais
14/11/2022 20:32:56,22,Masculino,7,5,Diurno,1,2,3,,Sim,,Computador,De 3 a 5 horas,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
15/11/2022 19:10:03,22,Feminino,8,1,Diurno,1,1,3,,Sim,,Celular,Mais de 5 horas,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Um jeito mais rápido e eficiente para me comunicar com as pessoas,Sou obrigado(a) a aprender para poder estudar e/ou trabalhar
18/11/2022 00:12:45,22,Feminino,7,2,Diurno,1,2,3,,Sim,,Celular,Mais de 5 horas,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,É um avanço da tecnologia que está melhorando a vida das pessoas,Estou entusiasmado e quero saber muito mais
